ABCB1
ACE
ADAM17
AKAP12
AKT2
ALDH1A2
ALDH1A3
AMMECR1
ANGPTL4
ANKH
ANO1
ANXA10
APOD
ATG10
AVL9
BMP2
BPGM
BTBD3
BTC
CAB39L
CBL
CBR4
CBX8
CDADC1
CFB
CFH
CFHR2
CIDEA
CPE
CROT
CTSS
DCBLD2
DNMBP
DOCK2
ELTD1
EMP1
EPB41L3
EPHB2
EREG
ERO1L
ETV1
ETV4
ETV5
EVI5
F13A1
F2RL1
FAM190B
FBXO4
FGF9
FLT4
FUCA1
G0S2
GABRA3
GADD45G
GALNT3
GFPT2
GLRX
GNG11
GPR124
GPRC5B
GUCY1A3
GYPC
HBEGF
HIST1H2BB
HKDC1
HOXD11
HSD11B1
ID2
IGF2
IGFBP3
IL1RL2
IL2RG
IL33
ITGA2
ITGBL1
JUP
KCNN4
KIF5C
KLF4
LAPTM5
LCP1
LIF
MAFB
MALL
MAP3K1
MAP7
MMP10
MMP11
MPZL2
MTMR10
MYCN
NAP1L2
NGF
NIN
NR0B2
NR1H4
NRP1
PCP4
PCSK1N
PEG3
PIGR
PLAUR
PLEK2
PLVAP
PPP1R15A
PRDM1
PRKG2
PRRX1
PSMB8
PTBP2
PTCD2
PTPRR
RABGAP1L
RBM4
RBP4
RELN
RETN
SATB1
SCG3
SCG5
SCN1B
SDCCAG8
SEMA3B
SERPINA3
SLMO2
SLPI
SNAP25
SNAP91
SOX9
SPARCL1
SPON1
SPRY2
ST6GAL1
STRN
TFPI
TMEM100
TMEM158
TMEM176A
TMEM176B
TNFAIP3
TNFRSF1B
TNNT2
TOR1AIP2
TPH1
TRIB1
TSPAN1
TSPAN13
TSPAN7
USH1C
USP12
VWA5A
WDR33
YRDC
ZNF277
ZNF639
