ANGPTL4
ARNTL2
C19orf10
C20orf42
CALM2
CALU
CAPZA1
CDCP1
CLCF1
CSNK1D
CXCL1
CXCL2
DENND2C
DUSP1
DUSP4
DUSP5
EFNB1
EHD1
ELK3
EREG
FOS
FOXQ1
G0S2
GDF15
GLTP
HBEGF
IER3
IL13RA2
IL8
ITGA2
ITPR3
KCNK1
KCNN4
KLF6
LAMA3
LDLR
LHFPL2
LIF
MALL
MAP1LC3B
MAST4
MMP14
NAV3
NDRG1
NFKBIZ
NPAL1
OXSR1
PBEF1
PHLDA2
PI3
PIM1
PLAUR
PNMA2
PPP1R15A
PTHLH
PTX3
PVR
RPRC1
S100A6
SDC1
SDC4
SEMA4B
SERPINB1
SERPINB5
SESN2
SFN
SLC16A3
SLC2A14
SLC2A3
SLC9A1
SPRY4
TFPI2
TGFA
TMEM45B
TNFRSF10A
TNFRSF10B
TNFRSF12A
TNS4
TOR1AIP1
TSC22D1
TUBA1
UAP1
VEGF
ZFP36
