ACLY
ADFP
ARMET
ATP1B1
ATP5F1
AXIN1
BOP1
BSG
BTG1
CCND1
CDKN1A
CEACAM1
CITED2
CST3
CTSS
EEF1B2
EEF1D
EEF2
EIF3S6
FAM3C
FEZ2
FKBP2
GABPB2
GADD45A
GLRX
GNB2L1
GNS
HNRPA1
HPN
ID2
IL18
KDELR1
KRT18
KRT8
LAMC1
LCN2
LOC51035
MAPK1
MDFI
MT2A
MTIF2
MYCN
MYH7
NMT1
NPC2
NPR2
NUP88
PABPC1
PAFAH1B3
PCBD
PDK3
PHLDA2
PON2
PSEN1
PTPNS1
RABGGTB
REA
RPL14
RPL3
RPL6
RPL8
RPS2
S100A1
SFTPB
SHC1
SLC12A2
SLC25A5
SND1
SSA2
TANK
TCF2
TGFBI
TGOLN2
TNNT1
TSTA3
VASP
