ABCC2
ACOX2
ACSL5
AHCTF1
ANKRD22
ANTXR2
ANXA10
AP3S1
AQP3
AREG
ARHGAP26
ARL4A
ARMC4
ATG12
BMP2
C10orf18
C10orf78
C12orf35
C17orf45
C1orf121
C4orf32
C6orf141
C7orf30
CAMK2D
CAPS2
CNTNAP3
CSPP1
CSTA
DHX9
DPEP1
DSC3
EFNB2
EHBP1
ELL2
EPGN
EPRS
EREG
ETV1
FAM107B
FAM83B
FANCI
FGF19
FLJ31033
FLJ37512
FOXC1
GPAM
GPR110
HAS3
hCG_1776259
HEATR1
HS3ST1
HTR7
HTR7P
HYAL1
IGF2BP3
IRX4
JAG1
KIAA1913
KITLG
KLHL15
KLRC2
KRT222P
KSR2
L3MBTL3
LAMA2
LAMA4
LIAS
LOC112703
LOC285735
LOC440900
LOC727738
MAOB
MBNL1
MNS1
MUC4
MUM1L1
NAB1
NR5A2
NTSR1
OBFC1
OLA1
PALLD
PCDH7
PDE3B
PDLIM5
PHLDB2
PITPNC1
POLR3G
PPP3CA
PRDM1
PRKACB
PRSS3
PSD3
PTP4A1
RGS2
RNF128
RNF43
RP11-125A7.3
SAMD13
SAMD3
SATB2
SCML1
SETX
SGOL2
SLC16A6
SMC3
SPOCK3
SPRY4
SR140
SSFA2
STAMBPL1
STEAP1
STK39
SUHW4
SUPT16H
SYT1
TANK
TBC1D19
TCF7L2
TNIK
TPR
TRIOBP
TSC22D1
TSPAN5
TUBE1
USP34
UTRN
UTS2
VCAN
VTI1A
WNT16
ZBED2
ZFR
ZNF426
