SYK
RBM35A
ST14
TMEM30B
SPINT1
RAB25
C1orf172
GRHL2
GALNT3
SCNN1A
EVA1
ITGB6
C1orf74
INPP4B
PCDH1
C6orf141
HS3ST1
CDS1
DNAJA4
F11R
PROM2
CLDN7
SCEL
LAD1
SCIN
S100A14
ANKRD22
MAL2
EHF
RAB17
C1orf106
TTC9
DENND1C
CEACAM6
MAPK13
LOC196264
BSPRY
C1orf116
VSIG1
KIAA0703
TMPRSS4
TGFA
EPN3
ERBB3
C1orf210
TMEM45B
CDH1
SYTL5
OVOL2
RDHE2
LOC653857
B3GNT3
PRSS22
EPS8L1
RBM35B
EFNB2
CGNL1
LAMA3
PGM2L1
ELF3
PLEKHA7
TIAF1
C11orf52
EPB41L5
KRTCAP3
RAB11FIP4
PPL
DSC2
TACSTD1
FER1L4
IRF6
TSPAN1
MAOA
CLDN4
TMEM154
MYO1D
GPR115
PPP1R14C
PKIB
TSPAN15
SH2D3A
AMPD3
MTAC2D1
TMC5
AIM1
ACP6
AREG
FAM102A
ZNF608
TMEM65
KIAA1522
C5orf4
NFATC3
KLF7
ELL2
OTUB2
PLEKHG1
FUT2
MST1R
KRT7
C4orf34
JAG1
HOOK1
DLG3
KCNMB4
C12orf46
FLJ20273
RAC2
Gcom1
KIAA1107
STAP2
SCARB2
CGN
PRSS8
DHRS3
C1orf34
CYB561
FBP1
ZNF468
GDPD3
EGLN3
SEMA4B
ARHGEF3
VAMP8
LOC146795
RIPK4
RASEF
PRKCH
SLC37A1
EPPK1
STON2
JUP
EPHB3
RPS6KA2
VEGF
ALDH1A3
ROD1
PAK6
WFDC2
TMEM87B
SP110
C19orf21
TNFSF13
HPGD
ERO1L
ARSD
FAM84B
CD24
FA2H
ALAD
EMG1
IL13RA1
TNFRSF21
PON3
FAM83H
YWHAZ
ARHGEF10L
SLC41A2
ACOT11
NR3C2
KIAA1217
GCHFR
KALRN
ST3GAL5
SAMD9
LMCD1
WFDC3
TMEM49
DOC1
AMDD
CTNND1
TGOLN2
MCTP2
CST6
CSPG2
CHCHD7
TMC6
TMEM125
PRRG4
GSN
DKFZP779L1068
CEACAM1
CAB39
SHROOM3
LYPD3
LAMC2
ENTPD3
PADI1
TMC4
DAAM1
SNN
SOX4
LLGL2
PRSS16
IDS
PTK6
CDH3
CAPN8
MTUS1
STOM
CEACAM19
S100A16
HOOK2
CDKN2A
APRIN
ABLIM3
PDE5A
LRRC1
JUNB
SLC40A1
ZNRF1
PSD4
KIAA1815
PAK1
KIF21B
SLC44A3
ELF1
F5
SPINT2
FGFBP1
TRIOBP
ROR1
ATP8B1
KRAS
IFIH1
TSGA10
FUT3
EDG4
ZBTB25
TJP2
MALAT1
B3GNT5
FUCA1
FOXP1
MET
GBP2
RPL41
SHROOM2
SERPINA1
TMTC2
GRK5
UCA1
LOC58489
CEACAM5
RASD1
TSC22D3
CBR3
ARHGDIB
FRMD4B
S100A6
ZNF626
F3
PLS1
TAF9
RPH3AL
SLC44A2
FAM83A
CNKSR1
KIAA0251
GPR110
DENND2D
BIK
KIAA0284
SCAMP2
AZGP1
BMF
CHMP4C
